CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 0.00000 -62.13851
58084 10.00000 -62.13850
58084 20.00000 -62.13848
58084 30.00000 -62.13847
58084 40.00000 -62.13845
58084 50.00000 -62.13843
58084 60.00000 -62.13841
58084 70.00000 -62.13839
58084 80.00000 -62.13836
58084 90.00000 -62.13833
58084 100.00000 -62.13830
58084 110.00000 -62.13826
58084 120.00000 -62.13822
58084 130.00000 -62.13818
58084 140.00000 -62.13814
58084 150.00000 -62.13809
58084 160.00000 -62.13805
58084 170.00000 -62.13799
58084 180.00000 -62.13794
58084 190.00000 -62.13788
58084 200.00000 -62.13783
58084 210.00000 -62.13777
58084 220.00000 -62.13770
58084 230.00000 -62.13764
58084 240.00000 -62.13757
58084 250.00000 -62.13750
58084 260.00000 -62.13742
58084 270.00000 -62.13735
58084 280.00000 -62.13727
58084 290.00000 -62.13719
58084 300.00000 -62.13711
58084 310.00000 -62.13703
58084 320.00000 -62.13694
58084 330.00000 -62.13685
58084 340.00000 -62.13676
58084 350.00000 -62.13667
58084 360.00000 -62.13657
58084 370.00000 -62.13648
58084 380.00000 -62.13638
58084 390.00000 -62.13628
58084 400.00000 -62.13617
58084 410.00000 -62.13607
58084 420.00000 -62.13596
58084 430.00000 -62.13586
58084 440.00000 -62.13575
58084 450.00000 -62.13564
58084 460.00000 -62.13552
58084 470.00000 -62.13541
58084 480.00000 -62.13530
58084 490.00000 -62.13518
58084 500.00000 -62.13506
58084 510.00000 -62.13494
58084 520.00000 -62.13482
58084 530.00000 -62.13470
58084 540.00000 -62.13458
58084 550.00000 -62.13445
58084 560.00000 -62.13433
58084 570.00000 -62.13420
58084 580.00000 -62.13407
58084 590.00000 -62.13395
58084 600.00000 -62.13382
58084 610.00000 -62.13369
58084 620.00000 -62.13356
58084 630.00000 -62.13343
58084 640.00000 -62.13330
58084 650.00000 -62.13316
58084 660.00000 -62.13303
58084 670.00000 -62.13290
58084 680.00000 -62.13277
58084 690.00000 -62.13263
58084 700.00000 -62.13250
58084 710.00000 -62.13237
58084 720.00000 -62.13223
58084 730.00000 -62.13210
58084 740.00000 -62.13197
58084 750.00000 -62.13183
58084 760.00000 -62.13170
58084 770.00000 -62.13157
58084 780.00000 -62.13143
58084 790.00000 -62.13130
58084 800.00000 -62.13117
58084 810.00000 -62.13104
58084 820.00000 -62.13091
58084 830.00000 -62.13078
58084 840.00000 -62.13065
58084 850.00000 -62.13052
58084 860.00000 -62.13039
58084 870.00000 -62.13026
58084 880.00000 -62.13014
58084 890.00000 -62.13001
58084 900.00000 -62.12989
58084 910.00000 -62.12976
58084 920.00000 -62.12964
58084 930.00000 -62.12952
58084 940.00000 -62.12940
58084 950.00000 -62.12928
58084 960.00000 -62.12916
