CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:54.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), distance (km)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_SAT_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 0.00000 9130.759
58084 10.00000 9086.803
58084 20.00000 9042.649
58084 30.00000 8998.303
58084 40.00000 8953.768
58084 50.00000 8909.048
58084 60.00000 8864.148
58084 70.00000 8819.070
58084 80.00000 8773.819
58084 90.00000 8728.400
58084 100.00000 8682.817
58084 110.00000 8637.074
58084 120.00000 8591.176
58084 130.00000 8545.126
58084 140.00000 8498.931
58084 150.00000 8452.593
58084 160.00000 8406.119
58084 170.00000 8359.513
58084 180.00000 8312.779
58084 190.00000 8265.923
58084 200.00000 8218.950
58084 210.00000 8171.865
58084 220.00000 8124.674
58084 230.00000 8077.381
58084 240.00000 8029.992
58084 250.00000 7982.513
58084 260.00000 7934.949
58084 270.00000 7887.305
58084 280.00000 7839.589
58084 290.00000 7791.806
58084 300.00000 7743.961
58084 310.00000 7696.062
58084 320.00000 7648.114
58084 330.00000 7600.124
58084 340.00000 7552.098
58084 350.00000 7504.043
58084 360.00000 7455.966
58084 370.00000 7407.874
58084 380.00000 7359.774
58084 390.00000 7311.673
58084 400.00000 7263.578
58084 410.00000 7215.497
58084 420.00000 7167.437
58084 430.00000 7119.407
58084 440.00000 7071.415
58084 450.00000 7023.467
58084 460.00000 6975.574
58084 470.00000 6927.743
58084 480.00000 6879.982
58084 490.00000 6832.302
58084 500.00000 6784.710
58084 510.00000 6737.216
58084 520.00000 6689.829
58084 530.00000 6642.558
58084 540.00000 6595.415
58084 550.00000 6548.408
58084 560.00000 6501.547
58084 570.00000 6454.844
58084 580.00000 6408.309
58084 590.00000 6361.951
58084 600.00000 6315.784
58084 610.00000 6269.817
58084 620.00000 6224.063
58084 630.00000 6178.533
58084 640.00000 6133.239
58084 650.00000 6088.194
58084 660.00000 6043.409
58084 670.00000 5998.897
58084 680.00000 5954.673
58084 690.00000 5910.748
58084 700.00000 5867.136
58084 710.00000 5823.851
58084 720.00000 5780.907
58084 730.00000 5738.318
58084 740.00000 5696.099
58084 750.00000 5654.265
58084 760.00000 5612.830
58084 770.00000 5571.810
58084 780.00000 5531.221
58084 790.00000 5491.077
58084 800.00000 5451.396
58084 810.00000 5412.193
58084 820.00000 5373.485
58084 830.00000 5335.289
58084 840.00000 5297.622
58084 850.00000 5260.500
58084 860.00000 5223.942
58084 870.00000 5187.964
58084 880.00000 5152.585
58084 890.00000 5117.822
58084 900.00000 5083.693
58084 910.00000 5050.217
58084 920.00000 5017.411
58084 930.00000 4985.294
58084 940.00000 4953.885
58084 950.00000 4923.201
58084 960.00000 4893.261
58084 970.00000 4864.084
58084 980.00000 4835.687
58084 990.00000 4808.090
58084 1000.00000 4781.309
58084 1010.00000 4755.364
58084 1020.00000 4730.271
