CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T10:58:02.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 0.00000 90.99760
58084 10.00000 96.58272
58084 20.00000 102.17009
58084 30.00000 107.75925
58084 40.00000 113.34979
58084 50.00000 118.94135
58084 60.00000 124.53355
58084 70.00000 130.12600
58084 80.00000 135.71822
58084 90.00000 141.30960
58084 100.00000 146.89926
58084 110.00000 152.48571
58084 120.00000 158.06615
58084 130.00000 163.63409
58084 140.00000 169.17008
58084 150.00000 174.57556
58084 160.00000 177.93904
58084 170.00000 173.53915
58084 180.00000 168.08825
58084 190.00000 162.54540
58084 200.00000 156.97764
58084 210.00000 151.40022
58084 220.00000 145.81860
58084 230.00000 140.23529
58084 240.00000 134.65170
58084 250.00000 129.06873
58084 260.00000 123.48708
58084 270.00000 117.90735
58084 280.00000 112.33009
58084 290.00000 106.75591
58084 300.00000 101.18544
58084 310.00000 95.61942
58084 320.00000 90.05874
58084 330.00000 84.50446
58084 340.00000 78.95793
58084 350.00000 73.42085
58084 360.00000 67.89545
58084 370.00000 62.38472
58084 380.00000 56.89276
58084 390.00000 51.42533
58084 400.00000 45.99092
58084 410.00000 40.60237
58084 420.00000 35.28021
58084 430.00000 30.05903
58084 440.00000 25.00123
58084 450.00000 20.22843
58084 460.00000 15.99594
58084 470.00000 12.84667
58084 480.00000 11.68825
58084 490.00000 13.05833
58084 500.00000 16.32962
58084 510.00000 20.61352
58084 520.00000 25.40039
58084 530.00000 30.45170
58084 540.00000 35.65301
58084 550.00000 40.94498
58084 560.00000 46.29428
58084 570.00000 51.68076
58084 580.00000 57.09143
58084 590.00000 62.51735
58084 600.00000 67.95200
58084 610.00000 73.39024
