CIC_MEM_VERS = 1.0
CREATION_DATE  = 2017-11-29T08:48:56.000
ORIGINATOR     = CNES

META_START

COMMENT = days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = NIMPH
OBJECT_ID = NIMPH

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2017-11-27T00:00:00.000
STOP_TIME = 2017-11-28T00:00:00.000

META_STOP

58084 0.00000 6.20863
58084 10.00000 6.20353
58084 20.00000 6.19843
58084 30.00000 6.19332
58084 40.00000 6.18821
58084 50.00000 6.18310
58084 60.00000 6.17798
58084 70.00000 6.17285
58084 80.00000 6.16771
58084 90.00000 6.16256
58084 100.00000 6.15740
58084 110.00000 6.15222
58084 120.00000 6.14703
58084 130.00000 6.14182
58084 140.00000 6.13660
58084 150.00000 6.13135
58084 160.00000 6.12609
58084 170.00000 6.12080
58084 180.00000 6.11549
58084 190.00000 6.11015
58084 200.00000 6.10478
58084 210.00000 6.09938
58084 220.00000 6.09396
58084 230.00000 6.08850
58084 240.00000 6.08301
58084 250.00000 6.07748
58084 260.00000 6.07191
58084 270.00000 6.06630
58084 280.00000 6.06065
58084 290.00000 6.05496
58084 300.00000 6.04922
58084 310.00000 6.04344
58084 320.00000 6.03760
58084 330.00000 6.03171
58084 340.00000 6.02577
58084 350.00000 6.01977
58084 360.00000 6.01371
58084 370.00000 6.00759
58084 380.00000 6.00140
58084 390.00000 5.99515
58084 400.00000 5.98882
58084 410.00000 5.98242
58084 420.00000 5.97595
58084 430.00000 5.96940
58084 440.00000 5.96277
58084 450.00000 5.95605
58084 460.00000 5.94924
58084 470.00000 5.94234
58084 480.00000 5.93534
58084 490.00000 5.92824
58084 500.00000 5.92104
58084 510.00000 5.91373
58084 520.00000 5.90630
58084 530.00000 5.89876
58084 540.00000 5.89109
58084 550.00000 5.88330
58084 560.00000 5.87537
58084 570.00000 5.86730
58084 580.00000 5.85909
58084 590.00000 5.85073
58084 600.00000 5.84221
58084 610.00000 5.83353
58084 620.00000 5.82468
58084 630.00000 5.81564
58084 640.00000 5.80642
58084 650.00000 5.79701
58084 660.00000 5.78739
58084 670.00000 5.77756
58084 680.00000 5.76751
58084 690.00000 5.75722
58084 700.00000 5.74669
58084 710.00000 5.73591
58084 720.00000 5.72486
58084 730.00000 5.71352
58084 740.00000 5.70189
